Top 10?,WA Water Resilence?,CFDA #,CFDA Name,Department/Ind. Agency,Awarding Sub Agency,Sub-Tier,WP Category,Types of Assistance,Total $,Total $ Rank,Per Capita $,Per Capita $ Rank,Unique from WP CFDA list?,Title,Related Federal Assistance,Last Date Modified,Date Published,Funded,POC Information
,y,11.483,NOAA Programs for Disaster Relief Appropriations Act - Non-construction and Construction,"COMMERCE, DEPARTMENT OF",National Oceanic and Atmospheric Administration,NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,Capital Projects,B - Project Grants (Cooperative Agreements),213729,15,0.028,18,TRUE,NOAA Programs for Disaster Relief Appropriations Act - Non-construction and Construction,N/A,22-Sep-20,22-Sep-20,FALSE,"Dan Namur

Office of Management and Budget,, National Marine Fisheries Service, 1315 East-West Highway, Silver Spring MD 20910

(301) 713-1364"
,,11.609,Measurement and Engineering Research and Standards,NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY,National Institute of Standards and Technology,,,RESEARCH & INNOVATION,7028449.22,22,0.923,23,FALSE,MEASUREMENT AND ENGINEERING RESEARCH AND STANDARDS,,,,,
,y,11.616,Technology Innovation Program (TIP),"COMMERCE, DEPARTMENT OF",National Institute of Standards and Technology,NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY,,B - Project Grants (Cooperative Agreements),4407,19,0.001,19,FALSE,Technology Innovation Program (TIP),N/A,17-Aug-20,17-Aug-20,FALSE,"Heather Mayton

100 Bureau Drive, Gaithersburg MD 20899

301-975-4429"
,y,11.999,Marine Debris Program,"COMMERCE, DEPARTMENT OF",National Oceanic and Atmospheric Administration,NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,,Z - Salaries and Expenses/cap projects,594675,9,0.078,9,FALSE,Marine Debris Program,"11.463, 11.463, 11.457, 11.441, 11.469, 11.469, 11.441, 11.457",22-Sep-17,22-Sep-17,FALSE,"Kadija Baffoe-Harding

1305 East West Highway

SSMC 4 Rm 13267, Silver Spring MD 20910

301-713-3050"
,,12.003,Community Economic Adjustment Assistance for Responding to Threats to the Resilience of a Military Installation,DEPT OF DEFENSE,NULL,OFFICE OF LOCAL DEFENSE COMMUNITY COOPERATION,Capital Projects,B - Project Grants,0,48,0,48,TRUE,Community Economic Adjustment Assistance for Responding to Threats to the Resilience of a Military Installation,N/A,11-Mar-21,11-Mar-21,TRUE,"Karen E. Bass-McFadden

2231 Crystal Drive, Suite 520, Arlington VA 22202

703-697-2161"
,y,12.005,Conservation and Rehabilitation of Natural Resources on Military Installations,DEPT OF DEFENSE,NULL,DEPT OF THE ARMY,Conservation,B - Cooperative Agreements,0,49,0,49,TRUE,Conservation and Rehabilitation of Natural Resources on Military Installations,N/A,18-Jun-20,18-Jun-20,TRUE,"Robin A. Baldwin

441 G. Street. NW

, Washington DC 20314-1000

2027618645"
,y,12.010,Youth Conservation Services,DEPT OF DEFENSE,Department of the Army,DEPT OF THE ARMY,,B - Cooperative Agreements,2274850.99,3,0.299,2,FALSE,Youth Conservation Services,N/A,24-Aug-20,24-Aug-20,TRUE,"Robin A. Baldwin

441 G. Street. NW

, Washington DC 20314-1000

202-761-8645"
,,12.104,Flood Plain Management Services,DEPT OF DEFENSE,NULL,DEPT OF THE ARMY,Capital Projects,,0,48,0,48,TRUE,Flood Plain Management Services,,,,,
,y,12.106,Flood Control Projects,DOD,NULL,,,Capital Projects,0,48,0,48,FALSE,FLOOD CONTROL PROJECTS,,,,,
,y,12.110,Planning Assistance to States,,Department of the Army,,Technical Assistance,,487597,1,0.064,1,TRUE,Planning Assistance to States,,,,,
,y,12.130,Estuary Habitat Restoration Program,DEPT OF DEFENSE,Department of Defense,DEPT OF THE ARMY,Capital Projects,B - Project Grants (Cooperative Agreements),395573,4,0.052,4,TRUE,Estuary Habitat Restoration Program,11.463,18-Sep-16,18-Sep-16,FALSE,"Ellen Cumings

441 G Street NW, Washington DC 20314

202-761-4750"
,,12.460,Fisher House Foundation,DEPT OF DEFENSE,NULL,DEPT OF THE ARMY,Education,B - Project Grants,0,48,0,48,TRUE,Fisher House Foundation,N/A,########,########,TRUE,"Ms. Jennifer Cramer

U.S. Army Medical Research Acquisition Activity, Attn: MCMR-AAP , Fort Detrick MD 21702-5014

(301) 619-7145"
,,12.599,Congressionally Directed Assistance,DOD,Department of Defense,,,Capital Projects,40025215,4,5.256,7,FALSE,CONGRESSIONALLY DIRECTED ASSISTANCE,,,,,
,,12.600,Community Investment,OFFICE OF ECONOMIC ADJUSTMENT,Department of Defense,,,Capital Projects,235940850,2,30.984,2,FALSE,COMMUNITY INVESTMENT,,,,,
,,14.218,Community Development Block Grants/Entitlement Grants,ASSISTANT SECRETARY FOR COMMUNITY PLANNING AND DEVELOPMENT,Assistant Secretary for Community Planning and Development,,,Capital Projects,466213112.1,14,61.224,24,FALSE,COMMUNITY DEVELOPMENT BLOCK GRANTS/ENTITLEMENT GRANTS,,,,,
,,14.225,Community Development Block Grants/Special Purpose Grants/Insular Areas,,NULL,,Capital Projects,,0,48,0,48,TRUE,Community Development Block Grants/Special Purpose Grants/Insular Areas,,,,,
,,14.228,Community Development Block Grants/State's program and Non-Entitlement Grants in Hawaii,,Assistant Secretary for Community Planning and Development,,Capital Projects,,165395938,29,21.72,45,TRUE,Community Development Block Grants/State's Program and Non-Entitlement Grants in Hawaii (formerly CDBG Grant/Small Cities Program),,,,,
,,14.251,"Economic Development Initiative-Special Project, Neighborhood Initiative and Miscellaneous Grants",ASSISTANT SECRETARY FOR COMMUNITY PLANNING AND DEVELOPMENT,Assistant Secretary for Community Planning and Development,,,Capital Projects,22326757.58,1,2.932,11,FALSE,"ECONOMIC DEVELOPMENT INITIATIVE-SPECIAL PROJECT, NEIGHBORHOOD INITIATIVE AND MISCELLANEOUS GRANTS",,,,,
,y,14.252,Section 4 Capacity Building for Community Development and Affordable Housing,"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",NULL,ASSISTANT SECRETARY FOR COMMUNITY PLANNING AND DEVELOPMENT,Technical Assistance,B - Project Grants,0,48,0,48,TRUE,Section 4 Capacity Building for Community Development and Affordable Housing,N/A,28-May-20,28-May-20,TRUE,"Diane Schmutzler

451 7th Street SW, Washington DC 20410

2024024385"
,,14.253,Community Development Block Grant ARRA Entitlement Grants (CDBG-R)(Recovery Act Funded),ASSISTANT SECRETARY FOR COMMUNITY PLANNING AND DEVELOPMENT,Assistant Secretary for Community Planning and Development,,,Technical Assistance,310552,31,0.041,32,FALSE,COMMUNITY DEVELOPMENT BLOCK GRANT ARRA ENTITLEMENT GRANTS (CDBG-R)(RECOVERY ACT FUNDED),,,,,
,y,14.272,National Disaster Resilience Competition,"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",NULL,ASSISTANT SECRETARY FOR COMMUNITY PLANNING AND DEVELOPMENT,Capital Projects,B - Project Grants (Discretionary),0,48,0,48,TRUE,National Disaster Resilience Competition,14.269,2-Jun-20,2-Jun-20,TRUE,"Phyllis Foulds

801 Cherry Street, Suite 2800, Fort Worth TX 76102

817-978-5948"
,y,14.892,Choice Neighborhoods Planning Grants,,NULL,,Capital Projects,,0,48,0,48,TRUE,Choice Neighborhoods Planning Grants,,,,,
,y,14.905,Lead Hazard Reduction Demonstration Grant Program,,Office of Lead Hazard Control and Healthy Homes,,Capital Projects,,8906055.79,27,1.17,33,TRUE,Lead Hazard Reduction Demonstration Grant Program,,,,,
,,14.913,Healthy Homes Production Program,"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",NULL,OFFICE OF LEAD HAZARD CONTROL AND HEALTHY HOMES,Capital Projects,B - Project Grants,0,48,0,48,TRUE,Healthy Homes Production Program,"14.900, 14.905, 14.906",########,########,TRUE,"Yolanda Brown

451 Seventh Street, SW (Room 8236), Washington DC 20410

(202) 402-7596"
,,15.032,Indian Economic Development,BIA,NULL,,,Capital Projects,0,50,0,50,FALSE,Indian Economic Development,,,,,
,,15.034,Agriculture on Indian Lands,Interior BIA,NULL,,,Capital Projects,0,49,0,49,FALSE,AGRICULTURE ON INDIAN LANDS,,,,,
,,15.035,Forestry on Indian Lands,BIA,Bureau of Indian Affairs and Bureau of Indian Education,,,Conservation/Forestry/Watersheds,22341763.17,3,2.934,6,FALSE,FORESTRY ON INDIAN LANDS,,,,,
,y,15.037,Water Resources on Indian Lands,"INTERIOR, DEPARTMENT OF THE",NULL,BUREAU OF INDIAN AFFAIRS,,C - Direct Payments for Specified Use,0,49,0,49,FALSE,Water Resources on Indian Lands,N/A,21-Sep-20,21-Sep-20,TRUE,"Juanita Mendoza

1849 C Street, N.W.

Bureau of Indian Education, MS 4657-MIB, Washington DC 20240

2022083559"
,,15.041,Environmental Management Indian,BIA,NULL,,,Capital Projects,0,48,0,48,FALSE,ENVIRONMENTAL MANAGEMENT INDIAN,,,,,
,y,15.051,Endangered Species on Indian Lands,"INTERIOR, DEPARTMENT OF THE",NULL,BUREAU OF INDIAN AFFAIRS,Conservation,C - Direct Payments for Specified Use,0,48,0,48,TRUE,Endangered Species on Indian Lands,"15.035, 15.034",21-Sep-20,21-Sep-20,TRUE,"Juanita Mendoza

1849 C Street, N.W.

Bureau of Indian Education, MS 4657-MIB, Washington DC 20240

2022083559"
,y,15.065,Safety of Dams on Indian Lands,"INTERIOR, DEPARTMENT OF THE",NULL,BUREAU OF INDIAN AFFAIRS,Capital Projects,C - Direct Payments for Specified Use,0,48,0,48,TRUE,Safety of Dams on Indian Lands,N/A,21-Sep-20,21-Sep-20,TRUE,"Jack Byers

Office of Trust Services, Division of Water and Power, Branch of Safety of Dams, Bureau of Indian Affairs, 13922 Denver West Pkwy, Lakewood CO 80401

(303) 231-5222."
,y,15.156,Tribal Climate Resilience,"INTERIOR, DEPARTMENT OF THE",Bureau of Indian Affairs and Bureau of Indian Education,BUREAU OF INDIAN AFFAIRS,,C - Direct Payments for Specified Use,6583131,2,0.865,3,FALSE,Tribal Climate Resilience,N/A,21-Sep-20,21-Sep-20,TRUE,"Sean J. Hart

Bureau of Indian Affairs, 1849 C Street, NW, MS 4635 MIB, Washington DC 20240

(202)513-0337"
,y,15.225,Recreation and Visitor Services,,Bureau of Land Management,,,,1194343.68,11,0.157,12,FALSE,Recreation and Visitor Services,,,,,
,y,15.228,BLM Fuels Management and Community Fire Assistance Program Activities,"INTERIOR, DEPARTMENT OF THE",Bureau of Land Management,BUREAU OF LAND MANAGEMENT,,B - Cooperative Agreements (Discretionary Grants),2585999.65,6,0.34,11,FALSE,BLM Fuels Management and Community Fire Assistance Program Activities,N/A,4-Sep-20,4-Sep-20,TRUE,"Division Chief

National Interagency Fire Center, Boise ID 83705

(208)387-5321"
,y,15.231,"Fish, Wildlife and Plant Conservation Resource Management","INTERIOR, DEPARTMENT OF THE",Bureau of Land Management,BUREAU OF LAND MANAGEMENT,,B - Cooperative Agreements (Discretionary Grants),515291.67,15,0.068,17,FALSE,"Fish, Wildlife and Plant Conservation Resource Management","15.246, 15.247, 15.245, 15.244",8-Sep-20,8-Sep-20,TRUE,"Division Chief,

20 M Street SE, Washington DC 20003

(202) 912-7230"
,y,15.232,Joint Fire Science Program,,Bureau of Land Management,,Research & Innovation,,1119388.73,7,0.147,11,TRUE,Joint Fire Science Program,,,,,
,y,15.233,Forest and Woodlands Resource Management,"INTERIOR, DEPARTMENT OF THE",Bureau of Land Management,BUREAU OF LAND MANAGEMENT,,B - Cooperative Agreements (Discretionary Grants),57309,12,0.008,12,FALSE,Forest and Woodlands Resource Management,N/A,4-Sep-20,4-Sep-20,TRUE,"Forest, Rangeland, & Plant Conservation (HQ 200)

760 Horizon Drive, Suite 324, Grand Junction CO 81506

(208) 373-3812"
,,15.234,Secure Rural Schools and Community Self-Determination,"INTERIOR, DEPARTMENT OF THE",NULL,BUREAU OF LAND MANAGEMENT,Capital Projects,B - Cooperative Agreements (Discretionary Grants),0,48,0,48,TRUE,Secure Rural Schools and Community Self-Determination,N/A,4-Sep-20,4-Sep-20,TRUE,"Division Chief

760 Horizon Drive, Suite 324, Grand Junction CO 81506

202-912-7220"
,,15.236,Environmental Quality and Protection,"INTERIOR, DEPARTMENT OF THE",Bureau of Land Management,BUREAU OF LAND MANAGEMENT,,B - Cooperative Agreements (Discretionary Grants),32184.3,15,0.004,15,FALSE,Environmental Quality and Protection,N/A,4-Sep-20,4-Sep-20,TRUE,"Division of Wildlife, Aquatic & Environmental Protection

760 Horizon Drive, Suite 324, Grand Junction CO 81506

(202) 912-7274"
,y,15.237,Rangeland Resource Management,"INTERIOR, DEPARTMENT OF THE",NULL,BUREAU OF LAND MANAGEMENT,Conservation,B - Cooperative Agreements (Discretionary Grants),0,49,0,49,TRUE,Rangeland Resource Management,"15.245, 15.247, 15.246",4-Sep-20,4-Sep-20,TRUE,"Division of Forest, Rangeland, and Plant Conservation

760 Horizon Drive, Suite 324, Grand Junction CO 81506

(208) 373-3812"
,,15.238,Challenge Cost Share,"INTERIOR, DEPARTMENT OF THE",Bureau of Land Management,BUREAU OF LAND MANAGEMENT,,B - Cooperative Agreements (Discretionary Grants),176545.75,12,0.023,11,FALSE,Challenge Cost Share,N/A,25-Aug-20,25-Aug-20,FALSE,"Division Chief

Division of Lands and Realty, Bureau of Land Management (WO 350), 20 M Street, SE, Room 2134, Washington DC 20003

2029127350"
,,15.239,Management Initiatives,BLM,NULL,,,Technical Assistance,0,49,0,49,FALSE,MANAGEMENT INITIATIVES,,,,,
,y,15.243,Youth Conservation Opportunities on Public Lands,"INTERIOR, DEPARTMENT OF THE",Bureau of Land Management,BUREAU OF LAND MANAGEMENT,,B - Cooperative Agreements (Discretionary Grants),285500,13,0.037,13,FALSE,Youth Conservation Opportunities on Public Lands,"15.246, 15.247, 15.245",4-Sep-20,4-Sep-20,TRUE,"Division of Education, Cultural, and Paleontological Resources

760 Horizon Drive, Suite 324, Grand Junction CO 81506

(970) 882-1145"
,,15.244,Fisheries and Aquatic Resources Management,"INTERIOR, DEPARTMENT OF THE",Bureau of Land Management,BUREAU OF LAND MANAGEMENT,,B - Cooperative Agreements (Discretionary Grants),873997.31,6,0.115,9,FALSE,Fisheries and Aquatic Resources Management,N/A,4-Sep-20,4-Sep-20,TRUE,"Division of Wildlife, Aquatics & Environmental Protection

760 Horizon Drive, Suite 324, Grand Junction CO 81506

(202) 912-7274"
,y,15.245,Plant Conservation and Restoration Management,"INTERIOR, DEPARTMENT OF THE",Bureau of Land Management,BUREAU OF LAND MANAGEMENT,,B - Cooperative Agreements (Discretionary Grants),627964.97,11,0.082,11,FALSE,Plant Conservation and Restoration Management,"15.237, 15.230, 15.247, 15.246, 15.244",4-Sep-20,4-Sep-20,TRUE,"Forestry, Rangeland, and Plant Conservation

760 Horizon Drive, Suite 324, Grand Junction CO 81506

(208) 373-3812"
,y,15.246,Threatened and Endangered Species,"INTERIOR, DEPARTMENT OF THE",Bureau of Land Management,BUREAU OF LAND MANAGEMENT,,B - Cooperative Agreements (Discretionary Grants),145440.7,8,0.019,10,FALSE,Threatened and Endangered Species,"15.247, 15.245, 15.244",4-Sep-20,4-Sep-20,TRUE,"Division of Wildlife, Aquatics, and Environmental Protection

760 Horizon Drive, Suite 324, Grand Junction CO 81506

(801) 503-5411"
,,15.247,Wildlife Resource Management,"INTERIOR, DEPARTMENT OF THE",Bureau of Land Management,BUREAU OF LAND MANAGEMENT,,B - Cooperative Agreements (Discretionary Grants),139299.06,17,0.018,15,FALSE,Wildlife Resource Management,15.246,4-Sep-20,4-Sep-20,TRUE,"Division of Wildlife, Aquatics & Environmental Protection

760 Horizon Drive, Suite 324, Washington DC 81506

(801) 503-5411"
,y,15.248,National Landscape Conservation System,"INTERIOR, DEPARTMENT OF THE",NULL,BUREAU OF LAND MANAGEMENT,,B - Cooperative Agreements (Discretionary Grants),0,48,0,48,FALSE,National Landscape Conservation System,"15.246, 15.247, 15.245",4-Sep-20,4-Sep-20,TRUE,"Division of National Landscape Conservation System

760 Horizon Drive, Suite 324, Grand Junction CO 81506

(202) 912-7172"
,,15.252,Abandoned Mine Land Reclamation (AMLR),"OFFICE OF SURFACE MINING, RECLAMATION AND ENFORCEMENT",NULL,,,RESEARCH & INNOVATION,0,50,0,50,FALSE,ABANDONED MINE LAND RECLAMATION (AMLR) PROGRAM,,,,,
,,15.253,Not-for-Profit AMD Reclamation,"INTERIOR, DEPARTMENT OF THE",NULL,"OFFICE OF SURFACE MINING, RECLAMATION AND ENFORCEMENT",,B - Cooperative Agreements (Discretionary Grants),0,49,0,49,FALSE,Not-for-Profit AMD Reclamation,15.252,30-Jul-20,30-Jul-20,TRUE,"Yolande Norman, Chief, Division of Reclamation Support,

Department of the Interior, Office of Surface Mining Reclamation and Enforcement, Department of the Interior, 1849 C Street NW.,, Washington DC 20240

(202) 208-2868"
,,15.426,Coastal Impact Assistance Program (CIAP),BOEM,NULL,,,Capital Projects,0,48,0,48,FALSE,COASTAL IMPACT ASSISTANCE PROGRAM (CIAP),,,,,
,y,15.504,Title XVI Water Reclamation and Reuse,"INTERIOR, DEPARTMENT OF THE",Bureau of Reclamation,BUREAU OF RECLAMATION,,B - Cooperative Agreements,300000,6,0.039,9,FALSE,Title XVI Water Reclamation and Reuse,N/A,24-Mar-20,24-Mar-20,TRUE,"Amanda Erath

Technical/Program Information:  Bureau of Reclamation, Water Resources and Planning Office, Attn: Amanda Erath, Mail Code: 86-69200, Denver Federal Center, P.O. Box 25007, Denver CO 80225

(303) 445-2766"
,,15.506,Water Desalination Research and Development,"INTERIOR, DEPARTMENT OF THE",NULL,BUREAU OF RECLAMATION,,B - Cooperative Agreements,0,49,0,49,FALSE,Water Desalination Research and Development,N/A,19-May-20,19-May-20,TRUE,"Yuliana Porras Mendoza

Bureau of Reclamation, Research and Development Office, Mail Code: 08-10000, P.O. Box 25007, Denver Federal Center, , Denver CO 25007

(303)445-2265"
,y,15.507,WaterSMART (Sustain and Manage America�s Resources for Tomorrow),"INTERIOR, DEPARTMENT OF THE",Bureau of Reclamation,BUREAU OF RECLAMATION,,B - Cooperative Agreements (Discretionary Grants),8388910.24,6,1.102,10,FALSE,WaterSMART (Sustain and Manage America’s Resources for Tomorrow),15.506,17-Apr-20,17-Apr-20,TRUE,"Josh German

Bureau of Reclamation, Water Resources and Planning Office, Attn: Josh German, Mail Code: 86-69200, Denver Federal  Center, P.O. Box 25007, Denver CO 80225

(303) 445-2839"
,y,15.511,Cultural Resources Management,,NULL,BUREAU OF RECLAMATION,Conservation,,0,49,0,49,TRUE,Cultural Resources Management,,,,,
,,15.514,Reclamation States Emergency Drought Relief,"INTERIOR, DEPARTMENT OF THE",Bureau of Reclamation,BUREAU OF RECLAMATION,,B - Cooperative Agreements (Discretionary Grants),375110.9,11,0.049,12,FALSE,Reclamation States Emergency Drought Relief,N/A,24-Mar-20,24-Mar-20,TRUE,"Darion Mayhorn

Bureau of Reclamation, Attn: Darion Mayhorn, Mail Code 86-69200, PO Box 25007, Denver  CO 80225-0007

(303)445-3121"
,,15.517,Fish and Wildlife Coordination Act,"INTERIOR, DEPARTMENT OF THE",Bureau of Reclamation,BUREAU OF RECLAMATION,,B - Cooperative Agreements (Discretionary Grants),30481266.19,2,4.003,4,FALSE,Fish and Wildlife Coordination Act,N/A,19-May-20,19-May-20,TRUE,"Jeremy Black

Bureau of Reclamation, Acquisition and Assistance Management Division, Mail Code 84-27821, P.O. Box 25007, Denver Federal Center, Denver CO 80225

3034452490"
,y,15.519,"Indian Tribal Water Resources Development, Management, and Protection","INTERIOR, DEPARTMENT OF THE",Bureau of Reclamation,BUREAU OF RECLAMATION,,B - Cooperative Agreements (Discretionary Grants),790631,7,0.104,11,FALSE,"Indian Tribal Water Resources Development, Management, and Protection",N/A,6-Apr-20,6-Apr-20,TRUE,"Kelly Titensor

Native American and International Affairs Office, 1849 C Street, NW, Washington DC 20240

(202) 513-0558"
,,15.524,Recreation Resources Management,"INTERIOR, DEPARTMENT OF THE",Bureau of Reclamation,BUREAU OF RECLAMATION,,B - Cooperative Agreements (Discretionary Grants),347256,13,0.046,14,FALSE,Recreation Resources Management,N/A,12-May-20,12-May-20,TRUE,"Jerome Jackson

P.O. Box 25007 (84-57000), Denver CO 80225-0007

303-445-2712"
,y,15.530,Water Conservation Field Services (WCFS),"INTERIOR, DEPARTMENT OF THE",Bureau of Reclamation,BUREAU OF RECLAMATION,,B - Cooperative Agreements (Discretionary Grants),217115.2,6,0.029,15,FALSE,Water Conservation Field Services (WCFS),15.507,24-Mar-20,24-Mar-20,TRUE,"Dean Marrone

Bureau of Reclamation, Water Resources and Planning Office, Mail Code: 86-69200, P.O. Box 25007, Denver Federal Center,, Denver CO 80225

3034453577"
,y,15.531,Yakima River Basin Water Enhancement (YRBWE),"INTERIOR, DEPARTMENT OF THE",Bureau of Reclamation,BUREAU OF RECLAMATION,Conservation,B - Cooperative Agreements,50185467.68,1,6.59,1,TRUE,Yakima River Basin Water Enhancement (YRBWE),N/A,19-May-20,19-May-20,TRUE,"Gwendolyn (Wendy) Christensen, YRBWEP Manager

1917 Marsh Rd, Yakima WA 89901

509-573-8050"
,,15.534,"Miscellaneous Public Law 93-638 Contracts, Grants, and Cooperative Agreements",BUREAU OF RECLAMATION,NULL,,,Technical Assistance,0,48,0,48,FALSE,"MISCELLANEOUS PUBLIC LAW 93-638 CONTRACTS, GRANTS, AND COOPERATIVE AGREEMENTS",,,,,
,,15.536,Deschutes River Conservancy (DRC),BUREAU OF RECLAMATION,NULL,,,Capital Projects,0,48,0,48,FALSE,DESCHUTES RIVER CONSERVANCY (DRC),,,,,
,,15.546,Youth Conservation,BUREAU OF RECLAMATION,NULL,,,Technical Assistance,0,48,0,48,FALSE,YOUTH CONSERVATION PROGRAM,,,,,
,y,15.548,Reclamation Rural Water Supply,"INTERIOR, DEPARTMENT OF THE",NULL,BUREAU OF RECLAMATION,,B - Cooperative Agreements (Discretionary Grants),0,48,0,48,FALSE,Reclamation Rural Water Supply,N/A,19-May-20,19-May-20,FALSE,"Jeremy Black

Bureau of Reclamation, Acquisition and Assistance Management Division, Mail Code 84-27821, P.O. Box 25007, Denver Federal Center, Denver CO 80225

3034452490"
,y,15.554,Cooperative Watershed Management,"INTERIOR, DEPARTMENT OF THE",Bureau of Reclamation,BUREAU OF RECLAMATION,,B - Project Grants (Cooperative Agreements),79940,14,0.01,14,FALSE,Cooperative Watershed Management,15.507,24-Mar-20,24-Mar-20,TRUE,"Avra Morgan

Bureau of Reclamation, Water Resources and Planning Office, Mail Code: 86-96200, P.O. Box 25007, Denver CO 80225

(303)445-2906"
,,15.557,Applied Science Grants,"INTERIOR, DEPARTMENT OF THE",NULL,BUREAU OF RECLAMATION,,B - Project Grants (Cooperative Agreements),0,48,0,48,FALSE,Applied Science Grants,15.507,24-Mar-20,24-Mar-20,TRUE,"Avra Morgan

Bureau of Reclamation, Water Resources and Planning Office, Mail Code: 86-69200, P.O. Box 25007, Denver CO 80225

(303)445-2906"
,y,15.560,SECURE Water Act � Research Agreements,"INTERIOR, DEPARTMENT OF THE",Bureau of Reclamation,BUREAU OF RECLAMATION,,B - Project Grants (Cooperative Agreements),297022,14,0.039,13,FALSE,SECURE Water Act – Research Agreements,"15.557, 15.507",19-May-20,19-May-20,TRUE,"Jeremy Black

Bureau of Reclamation, Mail Code 84-27821, Denver Federal Center, P.O. Box 25007, Denver CO 80225

(303)445-2490"
,,15.566,Upper Klamath Basin Hydrolic Analyses,BUREAU OF RECLAMATION,NULL,,,Data & Monitoring,0,48,0,48,FALSE,UPPER KLAMATH BASIN HYDROLIC ANALYSES,,,,,
,,15.569,NULL,"INTERIOR, DEPARTMENT OF THE",NULL,BUREAU OF RECLAMATION,Conservation,B - Cooperative Agreements,0,48,0,48,TRUE,Educational Outreach,N/A,19-May-20,19-May-20,FALSE,"Sandra O'Roak

801 St. Suite 140, Sacramento CA 95814

916-414-2423"
,y,15.572,NULL,"INTERIOR, DEPARTMENT OF THE",NULL,BUREAU OF RECLAMATION,Capital Projects,B - Project Grants,0,48,0,48,TRUE,Agricultural Water Use Efficiency Program,N/A,24-Jun-20,24-Jun-20,TRUE,"Thomas Hawes

Interior Region 10, California-Great Basin

2800 Cottage Way (CGB-400), Sacramento CA 95825

916-978-5271"
,y,15.574,Water Storage Enhancement,"INTERIOR, DEPARTMENT OF THE",NULL,BUREAU OF RECLAMATION,,B - Project Grants (Cooperative Agreements),0,48,0,48,FALSE,Water Storage Enhancement,N/A,30-Jun-20,30-Jun-20,TRUE,"Carrie Diroll

Bureau of Reclamation

Attn: Carrie Diroll (MC 86-55000)

P.O. Box 25007, Denver CO 80225

303-445-2835"
,y,15.605,Sport Fish Restoration,"INTERIOR, DEPARTMENT OF THE",U.S. Fish and Wildlife Service,U.S. FISH AND WILDLIFE SERVICE,Conservation,A - Formula Grants,35347919.78,18,4.642,33,TRUE,Sport Fish Restoration,"15.608, 15.611, 11.407",29-Apr-21,29-Apr-21,TRUE," Director, Policy and Programs

U.S. Fish and Wildlife Service Headquarters, Wildlife and Sport Fish Restoration Program, Policy and Programs Division, 5275 Leesburg Pike, MS: WSFR, Falls Church VA 22041

(703) 358-2156."
,y,15.608,Fish and Wildlife Management Assistance,"INTERIOR, DEPARTMENT OF THE",U.S. Fish and Wildlife Service,U.S. FISH AND WILDLIFE SERVICE,,B - Project Grants (Discretionary),7213494.21,7,0.947,13,FALSE,Fish and Wildlife Management Assistance,"15.605, 15.631",31-May-21,31-May-21,TRUE,"Julie Jackson

Fish and Aquatic Conservation, U.S. Fish and Wildlife Service, Department of the Interior, 5275 Leesburg Pike, MS: FAC, , Falls Church VA 22041-3803

(703) 358-2373"
,,15.611,Wildlife Restoration and Basic Hunter Education,"INTERIOR, DEPARTMENT OF THE",U.S. Fish and Wildlife Service,U.S. FISH AND WILDLIFE SERVICE,,A - Formula Grants,66323579.08,29,8.71,39,FALSE,Wildlife Restoration and Basic Hunter Education,"15.605, 15.626, 15.615",29-Apr-21,29-Apr-21,TRUE,"Policy and Programs

U.S. Fish & Wildlife Service Headquarters, Wildlife and Sport Fish Restoration Program, Policy and Programs Division, 5275 Leesburg Pike, MS: WSFR, Falls Church VA 22041

(703) 358-2156"
,,15.614,"Coastal Wetlands Planning, Protection and Restoration ",Interior USFWS,U.S. Fish and Wildlife Service,,,Capital Projects,41211437.36,1,5.412,1,FALSE,"COASTAL WETLANDS PLANNING, PROTECTION AND RESTORATION ACT",,,,,
,y,15.615,Cooperative Endangered Species Conservation Fund,"INTERIOR, DEPARTMENT OF THE",U.S. Fish and Wildlife Service,U.S. FISH AND WILDLIFE SERVICE,,B - Project Grants (Discretionary),41971582.7,2,5.512,2,FALSE,Cooperative Endangered Species Conservation Fund,"15.634, 15.611",14-Apr-21,14-Apr-21,TRUE,"Ecological Services

U.S. Fish and Wildlife Service, Department of the Interior, 5275 Leesburg Pike, (MS: ES),, Falls Church VA 22041

(703) 358-2171"
,,15.616,Clean Vessel Act,Interior USFWS,U.S. Fish and Wildlife Service,,,Capital Projects,15196666,2,1.996,2,FALSE,CLEAN VESSEL ACT PROGRAM,,,,,
,y,15.623,North American Wetlands Conservation Fund,"INTERIOR, DEPARTMENT OF THE",U.S. Fish and Wildlife Service,U.S. FISH AND WILDLIFE SERVICE,,B - Project Grants (Discretionary),3227524.91,25,0.424,29,FALSE,North American Wetlands Conservation Fund,"15.611, 15.614, 15.605, 15.635",3-May-21,3-May-21,TRUE,"Chief,

U.S. Fish and Wildlife Service, Migratory Birds Program, Division of Bird Habitat Conservation, 5275 Leesburg Pike MS:MB, Falls Church VA 22041-3803

(703) 358-1784"
,,15.625,Wildlife Conservation and Restoration,USFWS,NULL,,,Conservation/Forestry/Watersheds,0,48,0,48,FALSE,WILDLIFE CONSERVATION AND RESTORATION,,,,,
